0,92,67
1,85,65
2,87,67
3,83,70
4,84,69
5,83,72
6,85,69
7,85,70
8,84,70
9,84,72
10,86,68
11,87,68
12,84,69
13,85,67
14,85,67
15,86,67
16,86,69
17,88,63
18,88,62
19,88,65
20,90,67
21,89,66
22,90,65
23,92,64
24,91,69
25,92,68
26,93,66
27,92,64
28,95,63
29,95,62
30,97,61
31,93,61
32,95,61
33,95,60
34,95,60
35,94,60
36,95,58
37,94,59
38,95,60
39,93,58
40,92,63
41,92,64
42,88,62
43,88,59
44,85,66
45,83,66
46,81,65
47,77,63
48,75,64
49,70,66
50,70,65
51,68,71
52,65,73
53,63,73
54,64,72
55,60,77
56,61,78
57,59,80
58,61,79
59,59,81
60,59,76
61,58,74
62,61,76
63,64,77
64,63,77
65,64,77
66,64,75
67,65,73
68,66,76
69,68,74
70,70,74
71,67,73
72,66,72
73,65,70
74,68,70
75,71,69
76,67,67
77,68,61
78,69,61
79,71,62
80,73,61
81,76,61
82,77,58
83,79,57
84,84,60
85,86,60
86,90,59
87,89,56
88,95,58
89,100,57
90,101,56
91,103,57
92,106,58
93,108,57
94,112,56
95,110,56
96,112,60
97,113,57
98,112,58
99,110,63
100,105,59
101,103,61
102,102,61
103,95,66
104,95,62
105,92,65
106,88,67
107,88,66
108,86,62
109,83,61
110,81,61
111,78,58
112,77,56
113,77,55
114,78,59
115,77,60
116,75,59
117,77,59
118,78,63
119,77,60
120,76,58
121,76,57
122,75,57
123,77,59
124,76,62
125,76,60
126,74,61
127,77,59
128,74,56
129,76,56
130,75,58
131,76,56
132,73,57
133,74,59
134,74,55
135,74,53
136,77,54
137,75,54
138,76,56
139,77,57
140,78,57
141,78,57
142,82,56
143,81,57
144,79,58
145,81,58
146,84,59
147,82,57
148,83,56
149,84,55
150,81,54
151,81,53
152,82,55
153,81,56
154,81,54
155,82,56
156,82,56
157,82,56
158,82,56
159,81,56
160,80,54
161,82,56
162,82,57
163,83,58
164,83,58
165,83,59
166,83,60
167,83,58
168,85,60
169,85,60
170,84,58
171,86,63
172,86,63
173,86,63
174,86,65
175,86,64
176,84,65
177,85,67
178,85,67
179,84,67
180,85,67
181,86,63
182,87,65
183,88,66
184,90,65
185,90,68
186,92,69
187,92,72
188,95,72
189,95,71
190,97,74
191,98,74
192,100,75
193,102,75
194,102,78
195,103,80
196,105,77
197,106,77
198,108,82
199,110,85
200,112,84
201,115,84
202,116,89
203,118,88
204,120,89
205,120,86
206,120,89
207,123,84
208,119,81
209,117,78
210,116,76
211,113,73
212,109,67
213,102,66
214,99,68
215,95,64
216,91,64
217,83,65
218,78,65
219,74,62
220,72,63
221,66,61
222,66,62
223,62,61
224,59,61
225,58,62
226,59,62
227,60,60
228,61,62
229,59,62
230,60,61
231,65,65
232,68,67
233,71,69
234,75,68
235,76,72
236,81,71
237,84,72
238,85,70
239,87,70
240,88,73
241,89,72
242,94,74
243,94,73
244,92,72
245,90,76
246,93,75
247,92,73
248,94,73
249,93,72
250,90,67
251,90,67
252,88,67
253,88,71
254,86,71
255,82,69
256,83,67
